URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/us/bfdr/CodeSystem/CodeSystem-edit-flags,2.0.0-Ballot,draft,,EditFlagsCS,Birth Edit Flags,"This code system contains codes to represent edit flags specific to BFDR. Additional edit flag codes are located in [CodeSystemEditFlagsVitalRecords](https://hl7.org/fhir/us/vr-common-library/2024Jan/CodeSystem-CodeSystem-vr-edit-flags.html)",
http://hl7.org/fhir/us/bfdr/CodeSystem/CodeSystem-local-bfdr-codes,2.0.0-Ballot,draft,,LocalBFDRCodesCS,Local BFDR Codes,"Local Codes for concepts in BFDR that lack an appropriate LOINC or SCT code",
